filename,xmin,ymin,xmax,ymax,class,width,height
db1.jpg,1105,919,1315,1127,object,2272,1704
db1.jpg,1005,1271,1166,1363,object,2272,1704
db1.jpg,600,1365,745,1494,object,2272,1704
db1.jpg,945,1370,1123,1508,object,2272,1704
db1.jpg,1536,1432,1898,1522,object,2272,1704
db1.jpg,763,1374,933,1497,object,2272,1704
db1.jpg,465,252,611,355,object,2272,1704
db1.jpg,450,1350,587,1490,object,2272,1704
db1.jpg,629,230,743,350,object,2272,1704
db1.jpg,1566,547,1873,605,object,2272,1704
db1.jpg,6,1550,145,1704,object,2272,1704
db1.jpg,151,1545,288,1704,object,2272,1704
db1.jpg,291,1552,472,1704,object,2272,1704
db1.jpg,733,1600,863,1704,object,2272,1704
db1.jpg,881,1592,1015,1704,object,2272,1704
db1.jpg,823,1250,991,1365,object,2272,1704
db1.jpg,618,561,760,759,object,2272,1704
db1.jpg,1581,612,1898,695,object,2272,1704
db1.jpg,1412,524,1551,750,object,2272,1704
db1.jpg,333,245,451,350,object,2272,1704
db1.jpg,191,1242,398,1469,object,2272,1704
db1.jpg,1587,697,1906,761,object,2272,1704
db1.jpg,1541,442,1845,541,object,2272,1704
db1.jpg,387,927,671,1112,object,2272,1704
db1.jpg,933,621,1085,766,object,2272,1704
db1.jpg,1325,932,1491,1137,object,2272,1704
db1.jpg,1252,505,1398,761,object,2272,1704
db1.jpg,778,646,924,763,object,2272,1704
db1.jpg,977,971,1098,1102,object,2272,1704
db1.jpg,742,172,887,339,object,2272,1704
db1.jpg,463,545,619,763,object,2272,1704
db1.jpg,1516,899,1762,1140,object,2272,1704
db1.jpg,1091,592,1239,766,object,2272,1704
db1.jpg,763,1014,939,1121,object,2272,1704
db2.jpg,1601,557,1946,680,object,2272,1704
db2.jpg,1057,887,1193,1043,object,2272,1704
db2.jpg,1001,540,1173,680,object,2272,1704
db2.jpg,601,1102,753,1327,object,2272,1704
db2.jpg,1180,138,1373,287,object,2272,1704
db2.jpg,816,535,1003,677,object,2272,1704
db2.jpg,763,126,1023,297,object,2272,1704
db2.jpg,1366,79,1557,277,object,2272,1704
db2.jpg,1551,1128,1798,1257,object,2272,1704
db2.jpg,386,111,738,297,object,2272,1704
db2.jpg,161,1107,306,1309,object,2272,1704
db2.jpg,676,532,813,670,object,2272,1704
